,vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC_purity,Quantity,Unit,Unit_mass_in_grams,Total_mass_in_grams
737,-Lenas-BioLaden-,-1.0,-1.0,2018-12-23 9:48:00,10 Gram - 159.89 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),0.0,0,0.0,0.0,0.0,0,10.0,10.0
738,-Lenas-BioLaden-,-1.0,-1.0,2018-12-20 1:35:00,12 Gram - 178.75 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),0.0,0,0.0,0.0,0.0,0,12.0,12.0
739,-Lenas-BioLaden-,-1.0,-1.0,2018-12-18 7:31:00,13 Gram - 193.25 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,13.0,13.0
740,-Lenas-BioLaden-,-1.0,-1.0,2018-12-17 8:46:00,1 Gram - 17 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),0.0,0,0.0,0.0,0.0,0,1.0,1.0
741,-Lenas-BioLaden-,-1.0,-1.0,2018-12-16 7:20:00,2 Gram - 32 EUR - * Lena\'s * HAWAIIAN SNOW * Bio Weed * (Sativa),0.0,0,0.0,0.0,0.0,0,2.0,2.0
742,-Lenas-BioLaden-,-1.0,-1.0,2018-12-02 9:18:00,2 Gram - 32 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,2.0,2.0
743,-Lenas-BioLaden-,-1.0,-1.0,2018-12-02 9:00:00,2 Gram - 40.49 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,2.0,2.0
744,-Lenas-BioLaden-,-1.0,-1.0,2019-11-29 6:10:00,4 Gram - 64 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,5.0,5.0
745,-Lenas-BioLaden-,-1.0,-1.0,2019-11-16 1:04:00,10 Gram - 149.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,10.0,10.0
746,-Lenas-BioLaden-,-1.0,-1.0,2019-11-07 4:54:00,4 Gram - 68.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,4.0,4.0
747,-Lenas-BioLaden-,-1.0,-1.0,2019-11-06 6:40:00,5 Gram - 79.75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,5.0,5.0
748,-Lenas-BioLaden-,-1.0,-1.0,2019-11-02 2:47:00,5 Gram - 75 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,5.0,5.0
749,-Lenas-BioLaden-,-1.0,-1.0,2019-10-25 8:12:00,1 Gram - 17 EUR - * Lena\'s * SWEET HAZE * Bio Weed * (Hybrid),0.0,0,0.0,0.0,0.0,0,1.0,1.0
750,c4rl0s,-1.0,-1.0,2019-01-01 7:04:00,5 Gram - 47.75 EUR - Nebula Haze +++ TOP QUALITY +++,0.0,0,0.0,0.0,0.0,0,5.0,5.0
751,c4rl0s,-1.0,-1.0,2018-12-29 8:04:00,10 Gram - 89 EUR - Nebula Haze +++ TOP QUALITY +++,0.0,0,0.0,0.0,0.0,0,10.0,10.0
752,c4rl0s,-1.0,-1.0,2018-12-16 7:55:00,6 Gram - 56.5 EUR - Nebula Haze +++ TOP QUALITY +++,0.0,0,0.0,0.0,0.0,0,6.0,6.0
753,c4rl0s,-1.0,-1.0,2018-12-05 10:51:00,25 Gram - 210.25 EUR - Nebula Haze +++ TOP QUALITY +++,0.0,0,0.0,0.0,0.0,0,25.0,25.0
754,c4rl0s,-1.0,-1.0,2019-11-23 6:39:00,19 Gram - 165.5 EUR - Nebula Haze +++ TOP QUALITY +++,0.0,0,0.0,0.0,0.0,0,19.0,19.0
755,clearcartman,-1.0,1055.0,2018-12-29 4:08:00,55 Piece - 1055 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $17/G,55.0,1,0.0,80.0,0.0,0,1.0,55.0
756,clearcartman,-1.0,865.0,2018-12-22 3:24:00,50 Piece - 865 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,50.0,1,0.0,80.0,0.0,0,1.0,50.0
757,clearcartman,-1.0,160.0,2018-12-21 5:38:00,5 Piece - 160 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,5.0,1,0.0,80.0,0.0,0,1.0,5.0
758,clearcartman,-1.0,1785.0,2018-12-18 9:59:00,100 Piece - 1785 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,100.0,1,0.0,80.0,0.0,0,1.0,100.0
759,clearcartman,-1.0,3160.0,2018-12-15 10:11:00,200 Piece - 3160 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,200.0,1,0.0,80.0,0.0,0,1.0,200.0
760,clearcartman,-1.0,275.0,2018-12-08 11:27:00,10 Piece - 275 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,10.0,1,0.0,80.0,0.0,0,1.0,10.0
761,clearcartman,-1.0,572.5,2018-12-05 5:07:00,25 Piece - 572.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,25.0,1,0.0,80.0,0.0,0,1.0,25.0
762,clearcartman,-1.0,480.0,2018-12-04 8:50:00,20 Piece - 480 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,20.0,1,0.0,80.0,0.0,0,1.0,20.0
763,clearcartman,-1.0,1310.5,2018-12-04 2:02:00,75 Piece - 1310.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,75.0,1,0.0,80.0,0.0,0,1.0,75.0
764,clearcartman,-1.0,1036.0,2018-12-03 5:07:00,60 Piece - 1036 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,60.0,1,0.0,80.0,0.0,0,1.0,60.0
