vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
laWnmoWermAn,-1,77,2018-12-21 0:00:00,1/4 ounce of Blue Dream - Ship to USA,,,,,0.25,oz,,
cheapdabs,-1,13,2019-01-08 0:00:00,CheapDabs! \\\\\\\\$10 PER GRAM//// 97.1% PURE THC!! {{{Online Daily}}},,,,97.1,,,10,
TheGrassCompany,-1,35.1,2018-12-03 0:00:00,? CHEESE - 3 Gram,,,,,,,3,
TheGrassCompany,-1,85.39,2018-12-03 0:00:00,? ZERO ZERO - 10 Gram,,,,,,,10,
majordan,-1,43.76,2018-06-20 0:00:00,Amnesia Haze Bud,,,,,,,,
laWnmoWermAn,-1,77,2018-12-04 0:00:00,1/4 ounce of Gorilla Glue #4 - Ship to USA,,,,,0.25,oz,,
laWnmoWermAn,-1,233,2018-12-29 0:00:00,1 ounce of Gorilla Glue - Ship to USA,,,,,1,oz,,
KTM1190rc8,-1,25.94,2018-11-15 0:00:00,"Green Poison. Organic, soil grown. 2g",,,,,,,2,
Vintage,-1,39.97,2018-08-24 0:00:00,3.5G Amnesia Lemon @Fresh@ Limited- Free delivery,,,,,,,3.5,
HeinekenExpress,-1,32.33,2018-03-17 0:00:00,Phenobarbital 10x100mg Pharma Grade Very RARE,10,,,,100,mg,,
greatwhite,-1,21.2,2018-11-12 0:00:00,2 gram amnesia haze (indoor),,,,,,,2,
greatwhite,-1,167.1,2018-12-18 0:00:00,1 oz     indoor grown    lemon haze,,,,,1,oz,,
Cannabuds,-1,55,2018-11-27 0:00:00,OG Kush! 7 grams,,,,,,,7,
TheGrassCompany,-1,101.15,2018-12-25 0:00:00,? AMNESIA HAZE - 10 Gram,,,,,,,10,
MarleysMainMan,-1,23,2018-10-28 0:00:00,1g Mother\'s Finest (Sativa),,,,,,,1,
majordan,-1,40.34,2018-11-10 0:00:00,diamond Haze Soft Hash 3g,,,,,,,3,
2fd5d8bb03a339a2ef44aeddf0213d40,-1,-1,2018-08-14 19:45:03,5g A-Grade Weed,,,,,,,5,
bec9ed0c9e77e55b3e52026c795569ac,-1,-1,2018-10-24 11:14:12,White Russia 5g/Outdoor/AAA/Free Shipping,,,,,,,5,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-10 15:32:14,jungle boys packs top quality,,,,,,,,
bec9ed0c9e77e55b3e52026c795569ac,-1,-1,2018-12-23 16:32:15,Critical Mass 5g/Outdoor/AAA/Free Shipping,,,,,,,5,
06c601aae73f79a1440507e7df0ab845,-1,-1,2018-12-22 17:31:47,2POUNDS OF QUALITY MEDICAL MARIJUANA,,,,,2,lb,,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-11-13 21:44:28,Top shelf\'s Grade AAA++ Cherry Gelato,,,,,,,,
e0faa2e54e023f7431cd9c473ae40716,-1,-1,2018-05-04 7:25:55,Viagra Oral jelly 7pack by 100mg- Blueberry Gold Oral Jelly,7,,,,100,mg,,
4ee6aa4d71ccfe51adbcd6d5b6bb71d3,-1,-1,2018-04-01 3:20:53,1/4 lb Platinum OG-High Grade Greenhouse-Free Shipping,,,,,0.25,lb,,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-11-13 16:00:03,Pineapple-Express Top Quality Weed!,,,,,,,,
